period,create_domain,delete_domain
2000-12,48404,40
2001-01,15584,121
2001-02,9878,85
2001-03,9054,87
2001-04,7952,77
2001-05,5593,130
2001-06,4673,118
2001-07,5223,130
2001-08,5097,143
2001-09,5202,371
2001-10,6554,464
2001-11,7199,961
2001-12,9419,1628
2002-01,8192,6493
2002-02,7095,1496
2002-03,6052,1235
2002-04,5867,1587
2002-05,5778,1359
2002-06,5251,997
2002-07,5745,1422
2002-08,5501,1117
2002-09,6173,1613
2002-10,7027,2216
2002-11,7239,1942
2002-12,9229,4700
2003-01,9017,3197
2003-02,8218,2381
2003-03,7659,2327
2003-04,7070,2684
2003-05,6816,1758
2003-06,6096,2592
2003-07,6009,2190
2003-08,6576,2271
2003-09,8084,2341
2003-10,8328,3027
2003-11,7837,3316
2003-12,9115,5369
2004-01,10770,3651
2004-02,10157,3642
2004-03,10415,3340
2004-04,9805,3130
2004-05,9580,2643
2004-06,10458,3096
2004-07,9125,2899
2004-08,9559,3530
2004-09,10801,3669
2004-10,11338,4183
2004-11,11199,4024
2004-12,12130,5479
2005-01,12030,6303
2005-02,12704,4593
2005-03,13323,5689
2005-04,11912,4535
2005-05,11363,4220
2005-06,11220,4577
2005-07,10000,3874
2005-08,11793,4454
2005-09,12556,4411
2005-10,14903,5495
2005-11,294494,23616
2005-12,169194,50123
2006-01,227935,55578
2006-02,13124,32668
2006-03,13142,18856
2006-04,12457,5295
2006-05,12181,7252
2006-06,11834,5917
2006-07,9848,38478
2006-08,12392,9107
2006-09,12652,16153
2006-10,12768,73612
2006-11,13129,163806
2006-12,13533,116383
2007-01,17829,137914
2007-02,15885,14403
2007-03,16830,7804
2007-04,14438,8436
2007-05,15577,7547
2007-06,15097,7266
2007-07,16352,6819
2007-08,14311,7730
2007-09,15870,8174
2007-10,17843,11309
2007-11,18503,12638
2007-12,15128,13030
2008-01,19851,13764
2008-02,18138,9745
2008-03,18903,10919
2008-04,19585,9257
2008-05,17357,9799
2008-06,18936,10937
2008-07,16716,10201
2008-08,16394,10151
2008-09,19131,11365
2008-10,21443,13799
2008-11,19799,13637
2008-12,16664,13048
2009-01,18352,14049
2009-02,20415,11642
2009-03,21414,12970
2009-04,20637,11027
2009-05,17207,9841
2009-06,19446,12211
2009-07,16372,11914
2009-08,16565,11774
2009-09,19810,14999
2009-10,20073,16495
2009-11,21024,16665
2009-12,21436,13618
2010-01,24434,14792
2010-02,23564,13324
2010-03,25565,14475
2010-04,20070,14360
2010-05,21122,15881
2010-06,20053,15840
2010-07,15925,12985
2010-08,19397,12574
2010-09,21347,14749
2010-10,21847,15610
2010-11,22081,14689
2010-12,22236,16211
2011-01,23641,21294
2011-02,23279,16310
2011-03,24720,19055
2011-04,21186,14945
2011-05,22585,15527
2011-06,21460,14831
2011-07,19285,13368
2011-08,20413,14634
2011-09,22658,15197
2011-10,23060,15176
2011-11,23183,15276
2011-12,22301,16648
2012-01,26555,18383
2012-02,26666,18577
2012-03,34467,17877
2012-04,28599,18264
2012-05,22664,15954
2012-06,23849,16806
2012-07,20917,25351
2012-08,20193,17744
2012-09,24579,18910
2012-10,25956,22053
2012-11,26470,19109
2012-12,25427,21524
2013-01,27726,24608
2013-02,25323,22097
2013-03,26375,30920
2013-04,26066,24450
2013-05,25804,21275
2013-06,30353,19054
2013-07,20528,17627
2013-08,20604,19082
2013-09,24202,19728
2013-10,26755,21790
2013-11,24054,21221
2013-12,22056,21768
2014-01,25824,23532
2014-02,24971,21998
2014-03,23520,21872
2014-04,22829,21281
2014-05,23364,23359
2014-06,19201,22707
2014-07,18054,17560
2014-08,19541,18673
2014-09,22085,22974
2014-10,23422,22503
2014-11,21396,20473
2014-12,20724,22035
2015-01,23655,24097
2015-02,21368,24244
2015-03,24224,23022
2015-04,19739,20932
2015-05,20005,21098
2015-06,20113,20744
2015-07,17514,17684
2015-08,19758,18234
2015-09,22001,21114
2015-10,21834,22095
2015-11,20267,21838
2015-12,20896,21008
2016-01,22446,25581
2016-02,23916,21855
2016-03,21817,24325
2016-04,20288,22011
2016-05,20092,22888
2016-06,19368,21824
2016-07,16024,20078
2016-08,17538,25375
2016-09,20339,25950
2016-10,22256,25071
2016-11,22405,25111
2016-12,20110,23375
2017-01,24828,26285
2017-02,21519,24493
2017-03,22932,24429
2017-04,19562,20852
2017-05,19963,21783
2017-06,19156,19609
2017-07,17627,20034
2017-08,18218,19196
2017-09,20269,20930
2017-10,21066,21647
2017-11,21788,22349
2017-12,18159,20263
2018-01,22106,25608
2018-02,19570,23406
2018-03,21988,23151
2018-04,18061,21766
2018-05,17489,22712
2018-06,17399,20091
2018-07,15602,17359
2018-08,16854,23313
2018-09,18978,20878
2018-10,19888,22247
2018-11,20709,21767
2018-12,18084,21478
2019-01,21451,24473
2019-02,19495,22631
2019-03,20083,22471
2019-04,18461,19639
2019-05,19310,19709
2019-06,16669,18689
2019-07,16345,18716
2019-08,16820,17731
2019-09,19422,21255
2019-10,20810,23104
2019-11,19448,21000
2019-12,18487,22555
2020-01,22462,21319
2020-02,21317,20026
2020-03,23443,20390
2020-04,24472,19042
2020-05,24457,20199
2020-06,22175,18007
2020-07,20680,18167
2020-08,19683,17387
2020-09,22501,22896
2020-10,24785,21517
2020-11,27011,19787
2020-12,22733,20011
2021-01,25927,22863
2021-02,24019,20903
2021-03,26783,22072
2021-04,22128,21589
2021-05,20278,20115
2021-06,18114,19285
2021-07,16539,18695
2021-08,18070,18712
2021-09,19742,22525
2021-10,20708,23502
2021-11,20821,21622
2021-12,18624,20481
2022-01,20832,23402
2022-02,19484,20931
2022-03,19006,23119
2022-04,17245,20341
2022-05,19178,19469
2022-06,16680,19848
2022-07,14428,17373
2022-08,17292,18285
2022-09,17793,20940
2022-10,18787,22042
2022-11,19608,22870
2022-12,17138,23285
